,Guinea,Guinea,Guinea,Guinea,,,,
,Situation report,Situation report,Patient database,Patient database,,,,
,New,New,New,New,,,,
Epi week,Confirmed,Probable,Confirmed,Probable,Total Confirmed,Total Probable,Days since Jan 5,Total cases
30 December 2013 to 05 January 2014 (2014-W01),,,,2,0,2,0,2
06 to 12 January 2014 (2014-W02),,,,,0,2,7,2
13 to 19 January 2014 (2014-W03),,,,,0,2,14,2
20 to 26 January 2014 (2014-W04),,,,5,0,7,21,7
27 January to 02 February 2014 (2014-W05),,,,3,0,10,28,10
03 to 09 February 2014 (2014-W06),,,,5,0,15,35,15
10 to 16 February 2014 (2014-W07),,,,3,0,18,42,18
17 to 23 February 2014 (2014-W08),,,,5,0,23,49,23
24 February to 02 March 2014 (2014-W09),,,1,8,1,31,56,32
03 to 09 March 2014 (2014-W10),,,2,5,3,36,63,39
10 to 16 March 2014 (2014-W11),,,11,16,14,52,70,66
17 to 23 March 2014 (2014-W12),,,11,6,25,58,77,83
24 to 30 March 2014 (2014-W13),,,23,5,48,63,84,111
31 March to 06 April 2014 (2014-W14),,,22,5,70,68,91,138
07 to 13 April 2014 (2014-W15),,,27,,97,68,98,165
14 to 20 April 2014 (2014-W16),,,16,,113,68,105,181
21 to 27 April 2014 (2014-W17),,,10,,123,68,112,191
28 April to 04 May 2014 (2014-W18),,,3,9,126,77,119,203
05 to 11 May 2014 (2014-W19),,,8,3,134,80,126,214
12 to 18 May 2014 (2014-W20),,,6,2,140,82,133,222
19 to 25 May 2014 (2014-W21),,,23,4,163,86,140,249
26 May to 01 June 2014 (2014-W22),,,36,14,199,100,147,299
02 to 08 June 2014 (2014-W23),,,24,4,223,104,154,327
09 to 15 June 2014 (2014-W24),,,29,5,252,109,161,361
16 to 22 June 2014 (2014-W25),,,18,,270,109,168,379
23 to 29 June 2014 (2014-W26),,,22,2,292,111,175,403
30 June to 06 July 2014 (2014-W27),,,2,2,294,113,182,407
07 to 13 July 2014 (2014-W28),,,5,1,299,114,189,413
14 to 20 July 2014 (2014-W29),,,5,3,304,117,196,421
21 to 27 July 2014 (2014-W30),,,32,11,336,128,203,464
28 July to 03 August 2014 (2014-W31),,,13,14,349,142,210,491
04 to 10 August 2014 (2014-W32),,,21,,370,142,217,512
11 to 17 August 2014 (2014-W33),,,40,4,410,146,224,556
18 to 24 August 2014 (2014-W34),,,75,3,485,149,231,634
25 to 31 August 2014 (2014-W35),,,95,9,580,158,238,738
01 to 07 September 2014 (2014-W36),,,101,4,681,162,245,843
08 to 14 September 2014 (2014-W37),,,79,16,760,178,252,938
15 to 21 September 2014 (2014-W38),77,1,82,1,842,179,259,1021
22 to 28 September 2014 (2014-W39),117,9,120,10,962,189,266,1151
29 September to 05 October 2014 (2014-W40),95,4,99,6,1061,195,273,1256
06 to 12 October 2014 (2014-W41),137,10,130,13,1191,208,280,1399
13 to 19 October 2014 (2014-W42),102,0,110,5,1301,213,287,1514
20 to 26 October 2014 (2014-W43),75,9,81,14,1382,227,294,1609
27 October to 02 November 2014 (2014-W44),93,0,88,7,1470,234,301,1704
27 October to 09 November 2014 (2014-W45),145,3,153,8,1623,242,308,1865
10 to 16 November 2014 (2014-W46),81,4,93,7,1716,249,315,1965
17 to 23 November 2014 (2014-W47),148,6,149,21,1865,270,322,2135
24 to 30 November 2014 (2014-W48),77,0,86,6,1951,276,329,2227
01 to 07 December 2014 (2014-W49),96,7,111,11,2062,287,336,2349
08 to 14 December 2014 (2014-W50),76,43,74,11,2136,298,343,2434
15 to 21 December 2014 (2014-W51),156,0,171,10,2307,308,350,2615
22 to 28 December 2014 (2014-W52),115,12,103,3,2410,311,357,2721
29 December 2014 to 04 January 2015 (2015-W01),74,7,69,7,2479,318,364,2797
05 to 11 January 2015 (2015-W02),42,2,41,12,2520,330,371,2850
12 to 18 January 2015 (2015-W03),20,2,19,3,2539,333,378,2872
19 to 25 January 2015 (2015-W04),30,1,31,10,2570,343,385,2913
26 January to 01 February 2015 (2015-W05),39,2,38,4,2608,347,392,2955
