,Sierra Leone,Sierra Leone,Sierra Leone,Sierra Leone,,,,
,Situation report,Situation report,Patient database,Patient database,,,,
,New,New,New,New,,,,
Epi week,Confirmed,Probable,Confirmed,Probable,Total Confirmed,Total Probable,Days since Jan 5,Total cases
30 December 2013 to 05 January 2014 (2014-W01),,,,,0,0,0,0
06 to 12 January 2014 (2014-W02),,,,,0,0,7,0
13 to 19 January 2014 (2014-W03),,,,,0,0,14,0
20 to 26 January 2014 (2014-W04),,,,,0,0,21,0
27 January to 02 February 2014 (2014-W05),,,,,0,0,28,0
03 to 09 February 2014 (2014-W06),,,,,0,0,35,0
10 to 16 February 2014 (2014-W07),,,,,0,0,42,0
17 to 23 February 2014 (2014-W08),,,,,0,0,49,0
24 February to 02 March 2014 (2014-W09),,,,,0,0,56,0
03 to 09 March 2014 (2014-W10),,,,,0,0,63,0
10 to 16 March 2014 (2014-W11),,,,,0,0,70,0
17 to 23 March 2014 (2014-W12),,,,,0,0,77,0
24 to 30 March 2014 (2014-W13),,,,,0,0,84,0
31 March to 06 April 2014 (2014-W14),,,,,0,0,91,0
07 to 13 April 2014 (2014-W15),,,,,0,0,98,0
14 to 20 April 2014 (2014-W16),,,,,0,0,105,0
21 to 27 April 2014 (2014-W17),,,,,0,0,112,0
28 April to 04 May 2014 (2014-W18),,,,,0,0,119,0
05 to 11 May 2014 (2014-W19),,,2,,2,0,126,2
12 to 18 May 2014 (2014-W20),,,,,2,0,133,2
19 to 25 May 2014 (2014-W21),,,3,,5,0,140,5
26 May to 01 June 2014 (2014-W22),,,18,2,23,2,147,25
02 to 08 June 2014 (2014-W23),,,31,6,54,8,154,62
09 to 15 June 2014 (2014-W24),,,64,8,118,16,161,134
16 to 22 June 2014 (2014-W25),,,59,4,177,20,168,197
23 to 29 June 2014 (2014-W26),,,47,5,224,25,175,249
30 June to 06 July 2014 (2014-W27),,,89,4,313,29,182,342
07 to 13 July 2014 (2014-W28),,,106,7,419,36,189,455
14 to 20 July 2014 (2014-W29),,,79,2,498,38,196,536
21 to 27 July 2014 (2014-W30),,,96,8,594,46,203,640
28 July to 03 August 2014 (2014-W31),,,145,7,739,53,210,792
04 to 10 August 2014 (2014-W32),,,135,14,874,67,217,941
11 to 17 August 2014 (2014-W33),,,125,14,999,81,224,1080
18 to 24 August 2014 (2014-W34),,,175,24,1174,105,231,1279
25 to 31 August 2014 (2014-W35),,,188,34,1362,139,238,1501
01 to 07 September 2014 (2014-W36),,,212,24,1574,163,245,1737
08 to 14 September 2014 (2014-W37),,,230,17,1804,180,252,1984
15 to 21 September 2014 (2014-W38),254,0,376,50,2180,230,259,2410
22 to 28 September 2014 (2014-W39),350,0,380,38,2560,268,266,2828
29 September to 05 October 2014 (2014-W40),315,0,357,57,2917,325,273,3242
06 to 12 October 2014 (2014-W41),371,0,345,81,3262,406,280,3668
13 to 19 October 2014 (2014-W42),386,0,444,97,3706,503,287,4209
20 to 26 October 2014 (2014-W43),399,9,433,113,4139,616,294,4755
27 October to 02 November 2014 (2014-W44),435,5,478,140,4617,756,301,5373
27 October to 09 November 2014 (2014-W45),421,0,447,145,5064,901,308,5965
10 to 16 November 2014 (2014-W46),533,0,434,102,5498,1003,315,6501
17 to 23 November 2014 (2014-W47),385,0,404,119,5902,1122,322,7024
24 to 30 November 2014 (2014-W48),537,0,552,98,6454,1220,329,7674
01 to 07 December 2014 (2014-W49),397,0,362,128,6816,1348,336,8164
08 to 14 December 2014 (2014-W50),327,0,367,183,7183,1531,343,8714
15 to 21 December 2014 (2014-W51),315,0,344,131,7527,1662,350,9189
22 to 28 December 2014 (2014-W52),337,0,373,187,7900,1849,357,9749
29 December 2014 to 04 January 2015 (2015-W01),248,0,293,139,8193,1988,364,10181
05 to 11 January 2015 (2015-W02),184,0,232,159,8425,2147,371,10572
12 to 18 January 2015 (2015-W03),117,0,88,129,8513,2276,378,10789
19 to 25 January 2015 (2015-W04),65,0,65,15,8578,2291,385,10869
26 January to 01 February 2015 (2015-W05),80,0,80,,8658,2291,392,10949
